id,price,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,category,subcategory,language
46710,94.99,168,2.9,11,4,33,708,Teaching & Academics,Social Science,English
46571,24.99,246,3.85,21,6,14,107,Photography & Video,Other Photography & Video,English
46670,19.99,27674,4.05,63,19,129,,Office Productivity,Microsoft,English
46460,0,9409,4.2272725,338,66,15,80,Development,Web Development,Spanish
46418,124.99,7937,4.25,1198,303,159,834,Office Productivity,Oracle,English
46933,19.99,41,3.9,5,1,23,167,Finance & Accounting,Accounting & Bookkeeping,English
46816,24.99,202,4.75,56,24,14,135,Photography & Video,Other Photography & Video,English
46747,199.99,2922,4.05,313,75,45,428,Development,Programming Languages,English
46927,29.99,5778,4.1,333,63,24,,Finance & Accounting,Finance,English
46912,199.99,45470,4.0666666,1729,795,49,672,Business,Media,English
46807,74.99,3330,4.75,175,22,61,,Office Productivity,Microsoft,English
46864,39.99,1224,4.5,162,21,24,188,Office Productivity,Microsoft,English
47230,199.99,34,4.8333335,3,1,16,85,IT & Software,Other IT & Software,English
47214,19.99,79,3.55,10,4,19,58,Marketing,Paid Advertising,English
47121,59.99,3860,4.85,59,19,46,,Office Productivity,Microsoft,English
46674,19.99,776,3.8,56,19,9,83,Development,Database Design & Development,English
46978,49.99,622,4.55,15,8,60,,Design,Web Design,English
47285,199.99,35489,4.467742,4142,983,60,447,Personal Development,Memory & Study Skills,English
47051,0,4720,3.8,50,12,7,,Business,Business Strategy,English
47440,179.99,649,4.4166665,6,1,29,122,Marketing,Marketing Fundamentals,English
47441,24.99,12190,3.65,102,39,22,133,Office Productivity,SAP,English
47267,0,26027,4.290323,1768,352,12,null,Office Productivity,SAP,English
47004,99.99,21622,4.1,169,69,41,180,Design,Graphic Design & Illustration,English
47108,19.99,236,3.625,4,2,17,61,Business,Entrepreneurship,English
47504,0,10164,4.3,114,31,9,132,Finance & Accounting,Finance,English
47506,0,6922,3.6,66,null,15,69,Finance & Accounting,Other Finance & Accounting,English
47337,99.99,35866,4.35,1092,324,50,,Photography & Video,Video Design,English
47458,29.99,54,4.3,5,4,115,510,Office Productivity,Microsoft,English
47492,44.99,319,4.15,14,5,28,181,IT & Software,Network & Security,Spanish
47560,199.99,69,4.35,12,2,41,,Health & Fitness,Sports,English
47600,24.99,366,4,35,10,892,4237,Office Productivity,Microsoft,English
47631,29.99,315,5,4,4,21,110,Personal Development,Career Development,English
47712,99.99,10102,4.5,1311,390,22,126,Business,Other Business,English
47647,19.99,201,4.15,12,7,14,101,Design,Design Tools,English
47800,94.99,295,4.5,33,15,12,130,Business,Media,English
47738,59.99,44,3.875,4,2,61,273,Personal Development,Personal Brand Building,English
47997,19.99,28888,4.65,657,82,232,null,Teaching & Academics,Language Learning,English
47856,49.99,144,4.4,15,5,16,235,Development,Mobile Development,English
48023,19.99,53131,3.95,433,140,47,405,Development,Mobile Development,English
47866,49.99,1032,4.55,111,32,105,555,Office Productivity,Microsoft,English
47817,19.99,125122,3.75,3393,630,39,579,Development,Programming Languages,English
48098,19.99,7631,4.578534,2583,243,14,70,Office Productivity,Microsoft,English
47666,199.99,13708,3.6,57,26,24,339,Business,Management,English
47806,29.99,91567,3.9,908,181,23,188,Development,Mobile Development,English
47929,199.99,1637,4.7,125,46,55,381,Personal Development,Personal Transformation,English
48018,189.99,6907,4.439394,1032,288,51,null,Business,Media,English
48137,94.99,1039,4.95,130,53,41,220,Business,Communication,English
47963,189.99,24681,4.6,1046,220,251,2695,Development,Web Development,English
48114,24.99,1211,4.6,46,22,42,290,Development,Mobile Development,English
47991,0,35653,4.2083335,1378,243,15,108,Development,Software Testing,English
48218,49.99,18096,3.7,234,72,76,301,Development,Programming Languages,English
48425,29.99,2486,4.5,96,28,73,698,Teaching & Academics,Language Learning,English
48044,29.99,28788,3.7692308,1388,393,29,,Business,Management,English
48237,49.99,6993,4.6,844,198,80,431,IT & Software,Network & Security,English
48283,0,36804,4,491,153,26,49,Photography & Video,Digital Photography,English
48414,49.99,737,4.05,88,14,71,448,Design,Design Tools,English
48583,29.99,162,3.1,13,4,19,,Marketing,Content Marketing,English
